ID,Country or Subregion,Serotype,Year,In / Out of Subregions,EW,(C/TC) x100 (e),(SD/D) x100 (e),CFR (f),Confirmed,Deaths,Epidemiological Week (a),Incidence Rate (c),Population X 1000,Severe Dengue (d),Total of Dengue Cases (b)
6,Curaçao,  ,2022,Out,20,,,,,,-,,152,,
2,Mexico,"DEN 1,2,3,4",2022,Out,20,11.969279815,0.695551369,0.072,826,5,20,5.30,130262,48,6901
6,Virgin Islands (UK),  ,2022,Out,20,100,18.181818182,,11,,20,28.95,38,2,11
2,Guatemala,"DEN 1,2,3,4",2022,Out,20,26.495726496,0.788954635,0.263,403,4,20,8.33,18250,12,1521
6,Cayman Islands,  ,2022,Out,20,0,0,,0,,20,3.17,63,0,2
6,Trinidad and Tobago,  ,2022,Out,20,6.25,0,,1,,20,1.14,1403,0,16
4,Chile,  ,2022,Out,20,,,,0,0,8,0.00,19212,0,0
1,Canada,  ,2022,Out,20,,,,0,0,20,,0,0,0
2,Costa Rica,"DEN 1,2",2022,Out,20,6.362275449,0,0.000,85,0,20,26.00,5139,0,1336
6,Haiti,  ,2022,Out,20,0.066269052,0,0.000,1,0,13,13.07,11542,0,1509
6,Montserrat,  ,2022,Out,20,0,0,,0,,20,60.00,5,0,3
2,Panama,"DEN 1,2",2022,Out,20,79.360165119,0.309597523,0.103,769,1,20,22.03,4398,3,969
6,Aruba,  ,2022,Out,20,33.333333333,0,0.000,2,0,20,4.96,121,0,6
4,Paraguay,"DEN 1,2",2022,Out,20,4.758064516,0,0.000,118,0,20,34.35,7220,0,2480
6,Saint Kitts and Nevis,  ,2022,Out,20,0,0,0.000,0,0,20,1.85,54,0,1
6,Saint Martin,  ,2022,Out,20,,,,,,-,,33,,
6,Bermuda,  ,2022,Out,20,,,,0,0,20,0.00,72,0,0
2,Belize,  ,2022,Out,20,,,,0,0,16,0.00,405,0,0
3,Venezuela,"DEN 1,2,4",2022,Out,20,,0.361228176,0.120,,2,20,5.79,28705,6,1661
6,Saint Barthelemy,  ,2022,Out,20,,,,,,-,,7,,
6,Antigua and Barbuda,  ,2022,Out,20,0,0,0.000,0,0,20,4.04,99,0,4
6,Guyana,  ,2022,Out,20,100,0,0.000,157,0,16,19.87,790,0,157
4,Uruguay,  ,2022,Out,20,24.137931034,0,0.000,7,0,20,0.83,3485,0,29
3,Bolivia,"DEN 1,2",2022,Out,20,37.313231929,0.269215238,0.067,2772,5,20,62.78,11833,20,7429
2,Nicaragua,"DEN 1,2,3,4",2022,Out,20,1.240880889,0.020454081,0.000,182,0,20,218.85,6702,3,14667
3,Peru,"DEN 1,2",2022,Out,20,81.006026889,0.345387112,0.141,34946,61,20,129.32,33359,149,43140
1,United States of America,  ,2022,Out,20,100,0,0.000,70,0,20,0.02,332915,0,70
3,Andean Subregion,  ,2022,In,20,70.330647002,0.744646353,0.104,58558,87,-,58.20,143051,620,83261
4,Southern Cone,  ,2022,In,20,57.750863753,0.066376426,0.050,907463,781,-,542.75,289516,1043,1571341
6,Bahamas,  ,2022,Out,20,,,,,,-,,397,,
6,Grenada,  ,2022,Out,20,71.428571429,3.007518797,0.000,95,0,20,116.67,114,4,133
4,Argentina,"DEN 1,2",2022,Out,20,100,0,0.000,677,0,20,1.48,45606,0,677
6,Barbados,  ,2022,Out,20,0,,0.000,0,0,20,4.97,302,,15
2,El Salvador,"DEN 1,2,3,4",2022,Out,20,0.853889943,0.110689437,0.000,54,0,20,97.01,6519,7,6324
3,Colombia,"DEN 1,2,3,4",2022,Out,20,52.766963293,1.807563960,0.060,11385,13,20,42.09,51266,390,21576
4,Brazil,"DEN 1,2,4",2022,Out,20,57.817052524,0.066511282,0.050,906661,781,20,732.81,213993,1043,1568155
